teff_val,lum_val
,
,
,
3941.2734,
,
,
,
,
,
,
,
,
,
,
,
,
,
5344.72,0.894959
5541.6665,
4888.1025,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4340.0,
,
,
,
,
,
,
4986.0,4.5007772
5463.3335,0.8305784
5327.0,
,
,
,
,
,
,
,
,
,
,
,
,
5363.25,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5324.0,0.49311724
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
3931.5833,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4891.02,
,
,
,
,
5098.0,0.51103896
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5871.3335,2.8689947
,
,
5289.0,
,
6172.5,17.253868
,
,
,
5336.0,0.42560306
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5236.282,0.35987273
,
,
,
,
,
,
,
,
,
3976.5632,60.542114
,
,
,
4002.3333,
,
,
,
,
3904.7666,18.654928
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5464.4575,
5167.825,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4961.75,0.22546975
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4257.75,0.13560954
,
5405.0,
,
,
,
,
,
,
,
,
,
,
5433.89,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5818.0,1.8538517
,
,
,
,
5360.0,3.141739
,
5844.975,1.1344231
,
,
,
,
5781.0,1.0867935
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5100.0,0.47482863
,
,
,
,
,
5033.0,0.18083036
5819.5,1.0481075
,
,
,
5373.5,0.5378983
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5890.0,2.6141052
,
,
,
,
4940.6133,1.3464997
,
,
,
,
,
,
,
,
3722.0,
,
,
,
4370.75,
,
,
,
4954.0,0.51449656
,
,
,
,
,
,
,
,
,
3688.0,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4327.76,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4358.25,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4830.6826,0.4118357
,
,
,
,
,
,
4774.12,2.1737711
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
3651.0,
,
,
,
,
,
,
,
,
,
,
4729.8267,
,
,
,
,
,
,
,
,
,
,
,
