teff_gspphot,lum_flame
,
,
,
,
,
,
,
4597.4404,0.41473135
4950.9556,0.49483743
,
,
3985.698,
,
,
,
5077.6885,0.15691036
5054.441,0.16146453
,
,
,
,
3874.2334,
3790.6726,
4570.8125,0.21125239
,
,
,
3980.4087,
4745.0044,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
4649.233,0.39839533
4891.1064,0.31743133
4596.247,63.85099
5935.526,0.51735073
,
4696.8823,8.019935
5142.011,0.8642482
3332.2512,2067.7642
4751.125,0.10608903
3723.0308,
,
,
,
,
,
,
,
,
,
,
,
4275.378,0.25138804
,
,
4652.1177,
4971.3413,
,
4431.6914,
,
,
,
,
,
4784.431,
4783.8296,0.07091714
,
,
,
4756.561,
,
,
,
,
,
,
,
,
,
4624.607,0.12676583
,
,
4788.4487,
,
,
,
,
,
,
,
,
,
,
4949.6675,
3913.3127,
,
,
,
,
,
,
,
,
,
,
,
,
8447.724,49.916664
,
,
6891.8794,2.8998501
4693.4155,
,
4105.16,
,
4770.2114,1.4977485
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
3819.3652,
,
6341.733,2.3375301
7093.01,3.9609709
4904.483,0.3446005
,
6664.823,7.2841625
,
,
,
,
,
4379.7393,
3932.1365,
,
4042.4653,0.07481867
,
4795.831,0.38334927
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
3567.407,
5259.7305,5.372472
,
5129.4053,14.359281
4715.9863,6.81952
,
5237.259,0.17985114
4477.0767,0.53988147
4725.3315,0.15279306
5024.915,0.1937094
,
5124.4014,0.14093566
3497.0293,
4350.683,0.04251069
4767.826,0.13520831
4232.469,
,
,
4463.861,0.06597349
,
,
4397.836,
,
,
,
,
,
,
10190.062,19.211302
,
7193.4766,47.384823
6632.736,14.466266
4252.301,0.045456544
4743.5146,
5066.918,110.4422
5025.224,0.15184769
,
,
4681.0845,0.48581493
,
4557.54,0.15356873
3896.998,
4254.421,
5269.875,0.60216296
4781.582,
5053.506,0.1551079
,
,
3822.793,
,
4862.7456,
,
,
,
,
4242.7544,
,
,
,
4533.6987,
,
,
,
,
,
,
,
4745.911,0.63663125
,
,
,
,
,
,
,
,
6591.312,3.1941864
4150.6094,
,
,
4295.005,
,
,
,
4395.726,0.17963533
3742.6091,
,
,
,
,
5303.006,5.570003
,
5010.687,0.44356182
5870.748,0.9820804
,
4541.8647,
,
4319.718,
,
,
,
,
,
,
,
5743.1733,1.1747591
5395.4067,0.31161648
4977.7046,0.2801769
4748.048,0.31836027
4523.481,28.832916
4965.5156,
4217.039,0.07588002
4207.6733,
,
4408.339,
,
,
,
,
,
4546.0356,
,
,
,
4132.334,
,
,
,
5145.1143,0.65015876
,
4423.687,2.5119765
,
,
,
5125.408,
,
,
4749.641,0.39084694
,
,
,
4964.12,
,
,
,
,
,
,
,
4826.7393,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
3610.3535,
,
,
,
3643.507,
3635.094,
,
,
,
,
,
,
,
